Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 15641733.546724247 | Valid Loss 3.885270896| lr 0.004000000 | time 215.918
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 19787.535676091 | Valid Loss 0.205444540| lr 0.004000000 | time 205.926
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 32988909.978405721 | Valid Loss 465022479.542734921| lr 0.004000000 | time 197.561
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 10187387.544582495 | Valid Loss 39.790115047| lr 0.004000000 | time 200.558
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 253.290317089 | Valid Loss 8.579714307| lr 0.004000000 | time 199.827
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 2342130038.100933075 | Valid Loss 7032272.158985087| lr 0.004000000 | time 202.437
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 1463023360.798742771 | Valid Loss 0.101752189| lr 0.004000000 | time 199.524
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 188.046762509 | Valid Loss 3.734898101| lr 0.004000000 | time 198.584
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 196.959463066 | Valid Loss 0.099737093| lr 0.004000000 | time 199.625
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 171.217394906 | Valid Loss 0.177109045| lr 0.004000000 | time 198.853
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 359.336430666 | Valid Loss 1920.948981551| lr 0.004000000 | time 212.536
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 227.967137564 | Valid Loss 0.160838493| lr 0.004000000 | time 192.173
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 156.704977871 | Valid Loss 0.136491966| lr 0.004000000 | time 191.100
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 287.379435509 | Valid Loss 723.754158349| lr 0.004000000 | time 191.947
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 277.418834568 | Valid Loss 32.848522034| lr 0.004000000 | time 195.224
